,Balls_played,Batting_Hand,Bowling_Skill,Country,DOB,Econ_Rate,Over_count,Player_Id,Player_Name,Runs,Strike_Rate,cluster
316,,,Right-arm fast,Australia,11-Oct-79,7.45,144.16666666666666,188,RJ Harris,1074.0,,2
317,,,Slow left-arm orthodox,India,27-Nov-80,7.94,178.16666666666666,186,SB Jakati,1415.0,,2
318,,,Right-arm offbreak,South Africa,2-May-82,6.78,118.16666666666667,192,J Botha,801.0,,2
319,,,Left-arm medium-fast,South Africa,30-Jul-89,7.21,100.16666666666667,267,WD Parnell,722.0,,2
320,,,Slow left-arm orthodox,India,2-Dec-89,7.02,151.5,140,Iqbal Abdulla,1063.0,,2
321,,,Left-arm fast-medium,Australia,29-Apr-90,8.35,187.16666666666666,310,JP Faulkner,1562.0,,2
322,,,Right-arm medium,India,19-Jul-86,7.91,128.83333333333334,333,P Awana,1019.0,,2
323,,,Right-arm medium,West Indies,16-Feb-89,7.59,100.0,309,KK Cooper,759.0,,2
324,,,Right-arm fast,West Indies,29-Apr-88,8.41,108.5,334,AD Russell,912.0,,2
325,,,Right-arm medium,West Indies,12-Apr-83,8.45,79.16666666666667,147,DR Smith,669.0,,2
326,,,Legbreak googly,India,17-Oct-70,6.65,163.83333333333334,124,A Kumble,1089.0,,2
327,,,Right-arm offbreak,South Africa,14-Apr-84,7.07,113.83333333333333,154,JP Duminy,805.0,,2
328,,,Right-arm fast-medium,Pakistan,28-Feb-75,7.46,92.0,321,Azhar Mahmood,686.0,,2
329,,,Right-arm medium,India,23-Nov-90,8.28,113.66666666666667,311,HV Patel,941.0,,2
330,,,Left-arm medium,India,5-Nov-90,8.14,121.0,116,PJ Sangwan,985.0,,2
331,,,Right-arm fast,India,29-Oct-89,8.25,129.16666666666666,296,VR Aaron,1065.0,,2
332,,,Right-arm offbreak,India,27-Nov-86,7.25,142.0,21,SK Raina,1029.0,,2
333,,,Slow left-arm orthodox,Bangladesh,24-Mar-87,6.95,154.83333333333334,276,Shakib Al Hasan,1076.0,,2
334,,,Left-arm medium-fast,India,8-Apr-84,7.82,99.66666666666667,270,S Aravind,779.0,,2
335,,,Slow left-arm orthodox,India,12-Aug-89,7.02,171.16666666666666,293,S Nadeem,1201.0,,2
336,,,Right-arm offbreak,Australia,9-Jun-75,7.71,90.0,56,A Symonds,694.0,,2
337,,,Right-arm medium-fast,West Indies,7-Oct-83,7.9,351.6666666666667,71,DJ Bravo,2778.0,,3
338,,,Left-arm fast-medium,India,7-Oct-78,7.42,338.3333333333333,15,Z Khan,2511.0,,3
339,,,Right-arm medium,India,12-Feb-84,8.17,356.8333333333333,81,R Vinay Kumar,2917.0,,3
340,,,Right-arm offbreak,India,17-Sep-86,6.43,393.1666666666667,201,R Ashwin,2528.0,,3
341,,,Left-arm medium-fast,India,27-Oct-84,7.58,350.1666666666667,29,IK Pathan,2653.0,,3
342,,,Legbreak,India,24-Dec-88,7.58,412.0,67,PP Chawla,3123.0,,3
343,,,Right-arm fast,Sri Lanka,28-Aug-83,6.51,401.1666666666667,194,SL Malinga,2611.0,,3
344,,,Right-arm fast,South Africa,27-Jun-83,6.53,359.8333333333333,94,DW Steyn,2350.0,,3
345,,,Legbreak,India,24-Nov-82,7.16,411.0,136,A Mishra,2941.0,,3
346,,,Right-arm offbreak,India,3-Jul-80,6.92,457.0,50,Harbhajan Singh,3162.0,,3
347,,,Right-arm medium,India,2-Oct-86,7.44,421.5,14,P Kumar,3135.0,,3
